"title","broad_cir","broad_gmv","broad_roi","click","cost","cpc","cr","ctr","direct_gmv","impression","avg_rank","start_time","created_at","updated_at","fromWIB","toWIB"
"ODS Celana Pendek Short Pants Hitam Black [4]",0.09377555132117604,80610000000,10.663760286250472,214,7559247192,1259874532,0.028037383177570093,0.02994682339770501,67710000000,7146,24,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized T-shirt Abu Light Grey Misty [2]",0.006374936880810323,72070000000,156.86429821919887,12,459441701,65634528,0.5833333333333334,0.0670391061452514,9900000000,179,19,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Celana Pendek Short Pants Hitam Black [2]",0.09122422915526364,54810000000,10.962,87,5000000000,1000000000,0.05747126436781609,0.05523809523809524,32240000000,1575,16,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Comfort Short Pants Coal Black [5]",0.05518763796909492,45300000000,18.12,20,2500000000,1250000000,0.1,0.023282887077997676,19500000000,859,18,1734973200,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"Oversized T-shirt",0.12097652582159624,42600000000,8.266066438994102,144,5153600000,1288400000,0.027777777777777776,0.03988919667590028,42600000000,3610,1,1615136400,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt Black [4]",0.02957214671834625,38700000000,33.81560390337203,16,1144442078,381480692,0.1875,0.025559105431309903,38700000000,626,29,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt White [2]",0.00475968992248062,38700000000,210.09771986970685,7,184200000,61400000,0.42857142857142855,0.01939058171745152,12900000000,361,29,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized T-shirt Lilac [4]",0.015682894736842104,22800000000,63.76373856867187,15,357570000,178785000,0.13333333333333333,0.023622047244094488,0,635,26,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized Stripe T-shirt Pink Navy [3]",0.06266750681818181,19800000000,15.957232875105676,26,1240816635,620408317,0.07692307692307693,0.021576763485477175,9900000000,1205,27,1728320400,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized T-shirt Hitam Black [3]",0.12357050744803696,17320000000,8.092545872408214,46,2140241189,1070120594,0.043478260869565216,0.021545667447306797,17320000000,2135,29,1605373200,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized T-shirt Putih White [2]",0.04358279299191375,14840000000,22.944835136782945,23,646768648,323384324,0.08695652173913043,0.044061302681992334,14840000000,522,19,1721408400,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized Washed T-shirt Black [4]",0,14840000000,0,0,0,0,0,0,0,51,15,1728320400,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt Light Grey [2]",0.18582187720930232,12900000000,5.3814976741066936,93,2397102216,2397102216,0.010752688172043012,0.02851011649294911,12900000000,3262,30,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Celana Pendek Short Pants Abu Misty Grey [4]",0.14713772620155038,12900000000,6.796353496928397,60,1898076668,1898076668,0.016666666666666666,0.02388535031847134,12900000000,2512,32,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt Red [4]",0.1902233943410853,12900000000,5.256976953144483,109,2453881787,2453881787,0.009174311926605503,0.05430991529646238,12900000000,2007,20,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Celana Pendek Short Pants Abu Misty Grey [2]",0.14961154015503875,12900000000,6.683976376178767,58,1929988868,1929988868,0.017241379310344827,0.03090037293553543,12900000000,1877,24,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Oversized Stripe T-shirt Black White [3]",0.09788030054263566,12900000000,10.216560374826498,31,1262655877,1262655877,0.03225806451612903,0.018960244648318043,0,1635,32,1728320400,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt Black [2]",0.0839998365116279,12900000000,11.904785074927762,22,1083597891,1083597891,0.045454545454545456,0.018900343642611683,12900000000,1164,26,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Classic Oversized T-shirt Navy Blue [2]",0.05453324813953488,12900000000,18.33743696031617,16,703478901,703478901,0.0625,0.026058631921824105,0,614,35,1698771600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Heavyweight Cotton 16s Oversized T-shirt Hitam Black [4]",0.1802722842635659,12900000000,5.547164413460012,7,2325512467,2325512467,0.14285714285714285,0.021604938271604937,12900000000,324,21,1732899600,"2025-01-16 04:45:47","2025-01-16 04:45:47",,
"ODS Comfort Short Pants Coal Black [5]",0.027502750275027504,90900000000,36.36,29,2500000000,500000000,0.1724137931034483,0.04738562091503268,19500000000,612,19,1734973200,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"ODS Classic Oversized T-shirt Red [4]",0.03558718861209965,84300000000,28.1,130,3000000000,428571428,0.05384615384615385,0.05785491766800178,51600000000,2247,19,1698771600,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"ODS Oversized Pocket T-shirt Beige (Pocket) [4]",0.0016472868217054263,77400000000,607.0588235294117,3,127500000,21250000,2,0.013888888888888888,0,216,33,1698771600,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"ODS Oversized We Are Only Human T-shirt Dodger Blue [3]",0.0005167958656330749,77400000000,1935,2,40000000,6666666,3,0.019230769230769232,0,104,27,1729702800,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"ODS Celana Pendek Short Pants Hitam Black [4]",0.192975244384058,55200000000,5.182011833651611,233,10652233490,2663058372,0.017167381974248927,0.024125077655829365,12900000000,9658,25,1698771600,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"Oversized T-shirt",0.1021113537117904,45800000000,9.79323026920692,129,4676700000,2338350000,0.015503875968992248,0.03502579418951941,45800000000,3683,1,1615136400,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
"ODS Oversized Pocket T-shirt Navy (Pocket) [2]",0.003020142089201878,42600000000,331.11024927448574,3,128658053,42886017,1,0.08823529411764706,0,34,21,1698771600,"2025-01-16 04:54:35","2025-01-16 04:54:35",,
